full_address,lat,lon
120 Bt Merah View,1.282809,103.8225771
113 Bt Purmei Rd,1.2748886,103.8271056
114 Bt Purmei Rd,1.275194,103.8258403
115 Bt Purmei Rd,1.2754806,103.8269273
108 Jln Bt Merah,1.2792074,103.8256648
13 Jln Bt Merah,1.2877563,103.8072266
50 Telok Blangah Dr,1.2730871,103.8100803
51 Telok Blangah Dr,1.2735257,103.8100806
57 Telok Blangah Hts,1.2746029,103.8125244
102 Henderson Cres,1.2904366,103.8217393
116 Bt Merah Ctrl,1.2839699,103.8149968
1 Delta Ave,1.2921357,103.8285547
2 Delta Ave,1.291773,103.8280113
1 Everton Pk,1.2774492,103.8400579
140 Jln Bt Merah,1.2782374,103.8296416
7 Kim Tian Pl,1.2835884,103.8271056
113 Depot Rd,1.2815045,103.8071813
109 Spottiswoode Pk Rd,1.2741055,103.8366159
52 Telok Blangah Dr,1.2738102,103.8111707
67 Telok Blangah Dr,1.2747644,103.809717
73 Telok Blangah Hts,1.2757603,103.8092221
72 Telok Blangah Hts,1.276197,103.8095846
108 Gangsa Rd,1.3776359,103.7672512
115 Pending Rd,1.3780645,103.7691523
125 Pending Rd,1.3772502,103.7705103
223 Pending Rd,1.3757666,103.7734979
230 Pending Rd,1.3762144,103.7721399
142 Petir Rd,1.3765519,103.7677264
143 Petir Rd,1.3762416,103.7675227
251 Bangkit Rd,1.3803091,103.7738601
253 Bangkit Rd,1.3800833,103.774856
276 Bangkit Rd,1.3762045,103.7753968
234 Bt Panjang Ring Rd,1.3785616,103.7718683
417 Fajar Rd,1.3840087,103.7680659
436 Fajar Rd,1.3822549,103.7702161
104 Gangsa Rd,1.378851,103.767855
146 Gangsa Rd,1.3755348,103.7661874
123 Pending Rd,1.3775423,103.7706914
113 Pending Rd,1.3783555,103.7695145
116 Pending Rd,1.3771875,103.7686997
232 Pending Rd,1.3764327,103.7724115
206 Petir Rd,1.3737112,103.7740412
275 Bangkit Rd,1.3768586,103.7747655
255 Bangkit Rd,1.379636,103.7730226
236 Bt Panjang Ring Rd,1.3790051,103.7712346
403 Fajar Rd,1.3811496,103.7680659
207 Petir Rd,1.3736882,103.7748334
208 Petir Rd,1.3739991,103.7749465
416 Saujana Rd,1.3832917,103.7684507
246 Bangkit Rd,1.381395,103.7730679
243 Bt Panjang Ring Rd,1.3805988,103.7713478
418 Fajar Rd,1.3842971,103.7688807
111 Gangsa Rd,1.3781971,103.7684054
129 Pending Rd,1.3757114,103.7704198
233 Pending Rd,1.376583,103.7717778
8 Empress Rd,1.3163339,103.8052796
4 Queen'S Rd,1.3191525,103.8083359
5 Toh Yi Dr,1.3381784,103.7746733
7 Toh Yi Dr,1.3373757,103.7750375
10 Toh Yi Dr,1.3376784,103.7733174
8 Jln Kukoh,1.2873774,103.8394012
28 Kelantan Rd,1.3059994,103.8572918
30 Kelantan Rd,1.3053685,103.8569525
4 Sago Lane,1.2817753,103.8429707
5 Tg Pagar Plaza,1.2762569,103.8429313
668 Chander Rd,1.307587,103.8513808
640 Rowell Rd,1.3074168,103.8550556
634 Veerasamy Rd,1.3061584,103.855176
269A Queen St,1.3001505,103.8538113
3 Rochor Rd,1.302711,103.855211
334 Kreta Ayer Rd,1.2815328,103.8422758
637 Veerasamy Rd,1.3069042,103.8557291
6 Teck Whye Ave,1.3816739,103.7537627
1 Teck Whye Ave,1.3825654,103.7517712
115 Teck Whye Lane,1.3789764,103.7512281
16 Teck Whye Lane,1.3787335,103.7551205
202 Choa Chu Kang Ave 1,1.3819195,103.7494177
276 Choa Chu Kang Ave 2,1.3796044,103.7441677
288 Choa Chu Kang Ave 3,1.3789622,103.7411807
286 Choa Chu Kang Ave 3,1.3800582,103.7418143
410 Choa Chu Kang Ave 3,1.3805735,103.7414522
412 Choa Chu Kang Ave 3,1.381815,103.7422669
401 Choa Chu Kang Ave 3,1.379649,103.7397099
406 Choa Chu Kang Ave 3,1.3804327,103.7404566
407 Choa Chu Kang Ave 3,1.380392,103.740728
423 Choa Chu Kang Ave 4,1.3820462,103.7403661
427 Choa Chu Kang Ave 4,1.3808769,103.7397325
439 Choa Chu Kang Ave 4,1.383794,103.739853
440 Choa Chu Kang Ave 4,1.383778,103.739234
430 Choa Chu Kang Ave 4,1.3841786,103.7410517
433 Choa Chu Kang Ave 4,1.3850437,103.7418143
434 Choa Chu Kang Ave 4,1.3845337,103.7412712
435 Choa Chu Kang Ave 4,1.3851398,103.7410676
212 Choa Chu Kang Ctrl,1.3825178,103.7474263
205 Choa Chu Kang Ctrl,1.3809712,103.748603
206 Choa Chu Kang Ctrl,1.3806796,103.7483315
234 Choa Chu Kang Ctrl,1.3802408,103.7481504
236 Choa Chu Kang Ctrl,1.3798737,103.748241
215 Choa Chu Kang Ctrl,1.3829593,103.7471547
